clean_text,sentiment
oh no where did u order from thats horrible,0
a great hard training weekend is over  a couple days of rest and lets do it again  lots of computer time to put in now,0
right off to work  only  hours to go until im free xd,0
i am craving for japanese food,0
jean michel jarre concert tomorrow  gotta work  before though,0
dammiitt i wish i had mtv,0
you knowits really sad that u know that ur classmate dont care about you        sad memories tt,0
i know,0
i wish i had that much to say,0
ow i cant move my neck or my back   hurts too much and i dont know why d,0
iwant togohome,0
reading a few chapters of choke sleep work i still feel like shit,0
cant sleepgo online hahaha  and  misses you too,0
omfg why am i working right now,0
my brother must hate me he didnt answer his phone  and he didnt call me back either that or hes sleeping or at work,0
no   id assume theyd check if i actually did win something,0
candice i dont mean to bother you but im really sad that u got released,0
sitting at work waiting for the receptionist to get off lunch so i can go to my dental    i hate it,0
opted for a corona  it was a mistake my headache just got a million times worse,0
looks like i wont be getting operated b my album release   gonna surprise my pops at work and have lunch with him happy late dads day,0
i blame josh amp bff she was sick earlier amp so was josh,0
im in da library noelle and kayla and connie just left should i maybe cuz im really bored noone  chat and laugh with,0
they searched my person too one grabbed my stomach under my sweater thats what i get for wearing a sweater in snowy weather,0
hey stud go figure you come to the land of whores when i am gone in the bahamas,0
a my poor muffins i had to make those and i didnt make them for the cat he took the whole freakin bag and ran away  aw man,0
saw walk the line tonightnever heard much cash beforei could definitely appreciate thiswhy do i only quotdiscoverquot artists after they die,0
spent evening looking after suki doggy shitting herself everywhere falling off the decking into ditch and whining amp running into things,0
home from work was missing my maddie bug   now off to put clothes away and make our bed maybe sleep in it tonight,0
did you buy a ps my xbox got the rrod,0
uh oh  but is that not good its not got a hidden meaning or anything that i dont know about has it,0
cant think of him that way any more  or at least i try not to lol,0
i guess alls well that ends wellim still single for the record lol leaving cleveland will be bittersweet to,0
hell yes  where have you been man  youre never on aim anymore,0
dad having fever again not looking too good,0
wtf is going on with the chiefs getting smashed at the  way point of the s final,0
i dont get it,0
i am not poorly sick like  but i am not a happy bunny  i ache,0
cheers for losing the cell phone charger cable,0
quotbinthiaquot is serious now she hot really quiet and looks mad tired kinda feel bad cuz she had to drive after only sleeping a few hours,0
twisted gahh studying is making screw up my commercial,0
needs help from a wordpress theme expert,0
watching a progress bar go across the screen very very dull and tedious,0
been working hard london had glorious weather came back to kent and it was raining,0
eaten way too much junk food feel as if im about to explode not good,0
once the concert stories start rollin in i might have to go into hibernation,0
one month ago i was the most happiest person n now ijustwannadie,0
needs a new home,0
grounded,0
and i luv it but im very hurt that only sam goody had the album in my city and they sold out,0
yeah i have these extra strength things my mum takes for her leg and no chemist will be open when i go god,0
meeting fail nothing resolved going to be a rough week,0
can not wait  i will stay up to see what goodies you bring since i am still waitlisted for you tsv,0
my nose got sunburned amp now its peeling ewww,0
shopping with sis and alex i dont feel like shopping when on vacation,0
i cant buy the album im sad  reason australia need i say more congrats tho and all the best of luck lt,0
just woke up ive been asleep sine  hah i dont feel good  amp the people i used to steal internet from moved so text  instead of m,0
are u working tmr shit cathay shutter very heavy,0
yup sold outi tried to get another one last week and all gone  still looking round but nothing yet,0
keeping my friend and her children in my thoughts today as they mourn the loss of their husbandfather who suddenly died yesterday,0
i think mr brand that u at least owe us a few tweets after abandoning us uk girlies for la  xx,0
my dad wiped our comp hard drive cuz hes weird so i cant watch buckley on blogtv   more minutes  ltitsabbygt,0
wake up early tomorrow,0
hopefully ill feel better by tomorrow  i might have strep,0
arrrgh at least you got into stats  i failed diagnostic exam so i lost my spot,0
oh no way you cant do that sooo unfair,0
has been driven indoors  away from her bedding plants  by the rain,0
nope thats what i didnt get to have tonight,0
disappointed  signing off,0
is tired of putting forth soooo much effort and getting nothing in return,0
im sorry to hear about the death of your beloved canine,0
killed in tehran yesterday   iranelection,0
i just wanna fall asleep why do you call randomly and mess up my brain process for a night i just want my serenity back,0
i need a hugand less cynicism its making me depressed,0
to atascadeo again for practice  text tweet myspace,0
bigger bag broke jumping onto tube which then trapped my foot almost lost my flip flop,0
shit i lost my hk debit card,0
how did you ge   i cant get it yet this makes me upset do i need to get itunes,0
okay apparently i didnt miss the deadline for jb mampgs but it would be kinda lame to win i would feel really bad about it,0
just finished bade surfing online nutn much to do,0
rip gillybob and frieda you guys were good companions no other fish wouldve understood me as well as you guys have,0
i really want to see boys like girls tonight,0
i opened without you,0
kino sold out already popular also borders said theyre not sure if theyre even able to get copies,0
tweet tweet why cant i write on your wall,0
i wish the fan event in tulsa was not during my college graduation  miss you guys,0
this person behind cough like crazy on me i hope i dont get the swine flu pray for me please,0
my throat is still soreeeee  i cant wait until this is overrrrr,0
crap steve jobs had a liver transplant oh man thats not good  lol,0
